name,address,description,mood,image_url,visit_duration
光が丘公園,東京都練馬区光が丘,光が丘団地に隣接する練馬区最大の公園。キャッチボール、サッカーなどボール遊びができる。近くにショッピングモールやレストランあり。,わくわく,pic/002.jpg,60
石神井公園,東京都練馬区石神井台,２つの池を取り囲む緑あふれる公園。文豪や有名人が川のほとりの豪邸に住んでいる。なつかしのスワンボートに乗れる。池の周りを歩いて回ると自然を満喫できる。様々な鳥がいてバードウォッチングでも有名。,ちょっと疲れてる,,90
練馬城址公園,東京都練馬区春日町,ハリーポッタースタジオツアー東京から、川沿いに5分程度歩くとある。子供用の施設などもあり、芝生に座ったりゆったりできる。,まったり,,45
喫茶タイムマシン,東京都練馬区栄町,レトロ＆ポップな1980年代にロックオンできる、テーマパーク的喫茶店。,わくわく,,60
ぐすたふ珈琲,東京都練馬区旭丘,アートや演劇人も愛する香りと空間。元スナックの色香漂う空間で、香り深き至福の一杯。,まったり,,45
練馬展望レストラン,東京都練馬区豊玉北,練馬区役所20Fにある展望レストラン。練馬区在住の方以外には多分あまり知られていない穴場的なレストランではないでしょうか。展望台には以前訪れたことがあり、レストランが気になっていました。落ち着いていながら気取らない雰囲気で店員さんも感じ良く、窓側の席から夜景も綺麗に見えて楽しく過ごせました。,わくわく,,90
春日町バッティングセンター,東京都練馬区春日町,バッティング練習に！運動不足・ストレスの解消に！200円から楽しめるレジャー。,どきどき,,60
久松湯,東京都練馬区桜台,2014年５月に新装開店。美術館のような斬新な建築の銭湯。大きな天然温泉の露天風呂、人工炭酸泉、電気マッサージ風呂、冷水風呂、冷水シャワー、サウナなどを設置。浴室でプロジェクションマッピングによる光の演出が楽しめる。,わくわく,pic/003.jpg,90
庭の湯,東京都練馬区向山,日本を代表する造園設計家、小形研三氏による1,200坪の清閑な日本庭園を臨む「豊島園 庭の湯」。天然温泉をはじめ、健康促進に役立つバーデプールやサウナ、旬の味覚をお楽しみいただけるお食事処、日々の疲れを癒せるリラクゼーションエリアなど館内施設も充実している。こだわりの大人の癒し空間で都会の喧噪を忘れ、やすらぎの時間を過ごすには最高の場所。,ちょっと疲れてる,,120
江古田湯,東京都練馬区旭丘,昭和の時代にタイムスリップできる、昭和レトロな浴場。,わくわく,,60
そるとぴーなっつ,東京都練馬区,1980年にオープンした自転車持ち込み可のユニークなジャズバー。金曜日と土曜日は「そるとでジャズ・ライブ」と称して、個性豊かなメンバーによるジャズの生演奏を行っている。また、ジャムセッションや新人プレイヤーが集う変則バンド、注目のリーダーライブなど、レアなライブも多数企画、開催している。席数はカウンター8席・テーブル18席で、グランドピアノが設置され、本格的なサウンドが楽しめる。,まったり,,120
トキワ荘マンガミュージアム,東京都豊島区南長崎,かつて豊島区椎名町（現南長崎）にあったトキワ荘は、手塚治虫をはじめとするマンガの巨匠たちが住み集い、若き青春の日々を過ごした伝説のアパート。１９８２年１２月に解体されたが、多くの皆様のお力添えにより、マンガミュージアムとして開館した。当時の世界にタイムスリップできる。,わくわく,,90
志村電機珈琲焙煎所,東京都練馬区春日町,電機店と珈琲焙煎所のコラボ。豊島園駅から歩いて行ける宝箱のような街喫茶。,どきどき,,45
